"","NDI","site_no","SITE_CODE","STATION","mergeOn","lat","lon"
"85","566",3.34131e+14,"","","3.34131E+14",33.25,-117.3
"86","586",3.342e+14,"","","3.342E+14",33.25,-117.3
"87","607",3.34404e+14,"","","3.34404E+14",33.25,-117.3
"88","609",3.34437e+14,"","","3.34437E+14",33.25,-117.3
"89","610",3.34444e+14,"","","3.34444E+14",33.25,-116.66
"90","611",3.34445e+14,"","","3.34445E+14",33.25,-116.66
"91","613",3.34559e+14,"","","3.34559E+14",33.25,-116.66
"92","615",3.34604e+14,"","","3.34604E+14",33.25,-116.66
"93","619",3.3462e+14,"","","3.3462E+14",33.25,-116.66
"94","627",3.3472e+14,"","","3.3472E+14",33.25,-116.66
"95","628",3.34737e+14,"","","3.34737E+14",33.25,-116.66
"96","634",3.3474e+14,"","","3.3474E+14",33.25,-116.66
"97","641",3.34904e+14,"","","3.34904E+14",33.25,-116.66
"98","642",3.34921e+14,"","","3.34921E+14",33.25,-116.66
"99","649",3.35105e+14,"","","3.35105E+14",33.25,-116.66
"100","650",3.35112e+14,"","","3.35112E+14",33.25,-116.66
"101","651",3.35131e+14,"","","3.35131E+14",33.25,-116.66
"102","657",3.35133e+14,"","","3.35133E+14",33.25,-116.66
"103","658",3.35224e+14,"","","3.35224E+14",33.25,-116.66
"104","659",3.35231e+14,"","","3.35231E+14",33.25,-116.66
"105","665",3.35239e+14,"","","3.35239E+14",33.25,-116.66
"106","671",3.35258e+14,"","","3.35258E+14",33.25,-116.66
"107","676",3.35304e+14,"","","3.35304E+14",33.25,-116.66
"108","677",3.35314e+14,"","","3.35314E+14",33.25,-116.66
"109","678",3.35333e+14,"","","3.35333E+14",33.25,-116.66
"110","684",3.35337e+14,"","","3.35337E+14",33.25,-116.66
"111","689",3.35339e+14,"","","3.35339E+14",33.25,-116.66
"112","692",3.35348e+14,"","","3.35348E+14",33.25,-116.66
"113","695",3.35408e+14,"","","3.35408E+14",33.25,-116.66
"114","696",3.35411e+14,"","","3.35411E+14",33.25,-116.66
"115","697",3.35412e+14,"","","3.35412E+14",33.26,-116.37
"116","698",3.35423e+14,"","","3.35423E+14",33.26,-116.36
"117","701",3.35431e+14,"","","3.35431E+14",33.27,-116.68
"118","717",3.355e+14,"","","3.355E+14",33.27,-116.68
"119","721",3.35504e+14,"","","3.35504E+14",33.27,-116.68
"120","722",3.35509e+14,"","","3.35509E+14",33.27,-116.68
"121","724",3.35513e+14,"","","3.35513E+14",33.27,-116.68
"122","735",3.35522e+14,"","","3.35522E+14",33.27,-116.68
"123","741",3.35531e+14,"","","3.35531E+14",33.27,-116.68
"124","745",3.35543e+14,"","","3.35543E+14",33.27,-116.68
"125","746",3.35545e+14,"","","3.35545E+14",33.27,-116.68
"126","752",3.35549e+14,"","","3.35549E+14",33.27,-116.68
"127","756",3.35558e+14,"","","3.35558E+14",33.27,-116.68
"128","764",3.35616e+14,"","","3.35616E+14",33.27,-116.68
"129","768",3.35636e+14,"","","3.35636E+14",33.27,-116.68
"130","769",3.35642e+14,"","","3.35642E+14",33.27,-116.68
"131","776",3.3565e+14,"","","3.3565E+14",33.27,-116.68
"132","778",3.35651e+14,"","","3.35651E+14",33.28,-116.74
"133","781",3.35712e+14,"","","3.35712E+14",33.28,-116.74
"134","782",3.35714e+14,"","","3.35714E+14",33.28,-116.74
"135","786",3.35723e+14,"","","3.35723E+14",33.28,-116.74
"136","791",3.35737e+14,"","","3.35737E+14",33.28,-116.74
"137","798",3.35753e+14,"","","3.35753E+14",33.28,-116.74
"138","805",3.35802e+14,"","","3.35802E+14",33.28,-116.74
"139","807",3.35806e+14,"","","3.35806E+14",33.28,-116.74
"140","808",3.35807e+14,"","","3.35807E+14",33.28,-116.74
"141","810",3.35813e+14,"","","3.35813E+14",33.28,-116.74
"142","811",3.35818e+14,"","","3.35818E+14",33.28,-116.74
"143","817",3.35824e+14,"","","3.35824E+14",33.28,-116.74
"144","818",3.35825e+14,"","","3.35825E+14",33.28,-116.74
"145","820",3.35828e+14,"","","3.35828E+14",33.28,-116.74
"146","824",3.3583e+14,"","","3.3583E+14",33.28,-116.74
"147","826",3.35831e+14,"","","3.35831E+14",33.28,-116.74
"148","828",3.35838e+14,"","","3.35838E+14",33.28,-116.74
"149","831",3.35842e+14,"","","3.35842E+14",33.28,-116.74
"150","837",3.35843e+14,"","","3.35843E+14",33.28,-116.74
"151","839",3.35844e+14,"","","3.35844E+14",33.28,-116.74
"152","840",3.35845e+14,"","","3.35845E+14",33.28,-116.74
"153","843",3.35849e+14,"","","3.35849E+14",33.28,-116.74
"154","849",3.35858e+14,"","","3.35858E+14",33.29,-116.7
"155","853",3.35916e+14,"","","3.35916E+14",33.29,-116.7
"156","854",3.35917e+14,"","","3.35917E+14",33.29,-116.7
"157","860",3.3592e+14,"","","3.3592E+14",33.29,-116.7
"158","861",3.35928e+14,"","","3.35928E+14",33.29,-116.7
"159","862",3.3593e+14,"","","3.3593E+14",33.29,-116.7
"160","864",3.35938e+14,"","","3.35938E+14",33.29,-116.7
"161","866",3.35949e+14,"","","3.35949E+14",33.29,-116.7
"162","867",3.35951e+14,"","","3.35951E+14",33.29,-116.7
"163","868",3.35952e+14,"","","3.35952E+14",33.29,-116.7
"164","873",3.35955e+14,"","","3.35955E+14",33.29,-116.7
"165","876",3.35958e+14,"","","3.35958E+14",33.29,-116.7
"166","879",3.40005e+14,"","","3.40005E+14",33.29,-116.7
"167","892",3.40024e+14,"","","3.40024E+14",33.29,-116.7
"168","893",3.40027e+14,"","","3.40027E+14",33.29,-116.7
"169","903",3.4003e+14,"","","3.4003E+14",33.29,-116.7
"170","912",3.4004e+14,"","","3.4004E+14",33.29,-116.7
"171","919",3.40042e+14,"","","3.40042E+14",33.29,-116.7
"172","921",3.40044e+14,"","","3.40044E+14",33.29,-116.7
"173","922",3.40046e+14,"","","3.40046E+14",33.29,-116.7
"174","926",3.40107e+14,"","","3.40107E+14",33.3,-117.36
"175","930",3.40123e+14,"","","3.40123E+14",33.3,-117.36
"176","941",3.4013e+14,"","","3.4013E+14",33.3,-116.35
"177","946",3.40136e+14,"","","3.40136E+14",33.3,-116.35
"178","947",3.40142e+14,"","","3.40142E+14",33.31,-116.69
"179","949",3.40155e+14,"","","3.40155E+14",33.31,-116.69
"180","952",3.40158e+14,"","","3.40158E+14",33.31,-116.69
"181","953",3.40159e+14,"","","3.40159E+14",33.31,-116.69
"182","956",3.40202e+14,"","","3.40202E+14",33.31,-116.69
"183","960",3.40207e+14,"","","3.40207E+14",33.31,-116.69
"184","969",3.40229e+14,"","","3.40229E+14",33.31,-116.69
"185","976",3.40248e+14,"","","3.40248E+14",33.31,-116.69
"186","979",3.40251e+14,"","","3.40251E+14",33.35,-117.03
"187","980",3.40255e+14,"","","3.40255E+14",33.42,-116.05
"188","981",3.40257e+14,"","","3.40257E+14",33.42,-116.05
"189","983",3.40307e+14,"","","3.40307E+14",33.43,-116.08
"190","986",3.40316e+14,"","","3.40316E+14",33.44,-117.08
"191","988",3.40317e+14,"","","3.40317E+14",33.45,-117.1
"192","994",3.40321e+14,"","","3.40321E+14",33.46,-117.12
"193","997",3.40322e+14,"","","3.40322E+14",33.46,-117.1
"194","999",3.40326e+14,"","","3.40326E+14",33.46,-117.1
"195","1003",3.40333e+14,"","","3.40333E+14",33.47,-117.68
"196","1005",3.4034e+14,"","","3.4034E+14",33.47,-117.68
"197","1009",3.40349e+14,"","","3.40349E+14",33.47,-117.68
"198","1011",3.40407e+14,"","","3.40407E+14",33.47,-117.68
"199","1012",3.40408e+14,"","","3.40408E+14",33.47,-117.68
"200","1017",3.40414e+14,"","","3.40414E+14",33.47,-117.68
"201","1022",3.40423e+14,"","","3.40423E+14",33.47,-117.68
"202","1024",3.40432e+14,"","","3.40432E+14",33.47,-117.68
"203","1025",3.40433e+14,"","","3.40433E+14",33.47,-117.68
"204","1027",3.40438e+14,"","","3.40438E+14",33.47,-117.68
"205","1034",3.40439e+14,"","","3.40439E+14",33.47,-117.68
"206","1039",3.405e+14,"","","3.405E+14",33.47,-117.68
"207","1040",3.40503e+14,"","","3.40503E+14",33.47,-117.68
"208","1046",3.40508e+14,"","","3.40508E+14",33.47,-117.68
"209","1050",3.40509e+14,"","","3.40509E+14",33.47,-117.68
"210","1053",3.40519e+14,"","","3.40519E+14",33.47,-117.68
"211","1058",3.40521e+14,"","","3.40521E+14",33.47,-117.68
"212","1059",3.40524e+14,"","","3.40524E+14",33.47,-117.68
"213","1062",3.40531e+14,"","","3.40531E+14",33.47,-117.68
"214","1064",3.40533e+14,"","","3.40533E+14",33.47,-117.68
"215","1065",3.40535e+14,"","","3.40535E+14",33.47,-117.68
"216","1071",3.4054e+14,"","","3.4054E+14",33.47,-117.68
"217","1073",3.40541e+14,"","","3.40541E+14",33.47,-117.68
"218","1080",3.40546e+14,"","","3.40546E+14",33.47,-117.68
"219","1082",3.40552e+14,"","","3.40552E+14",33.47,-117.68
"220","1083",3.40555e+14,"","","3.40555E+14",33.47,-117.68
"221","1090",3.40559e+14,"","","3.40559E+14",33.47,-117.68
"222","1094",3.40605e+14,"","","3.40605E+14",33.47,-117.68
"223","1096",3.40606e+14,"","","3.40606E+14",33.47,-117.68
"224","1103",3.40615e+14,"","","3.40615E+14",33.47,-117.12
"225","1106",3.4062e+14,"","","3.4062E+14",33.47,-117.11
"226","1108",3.40626e+14,"","","3.40626E+14",33.47,-116.1
"227","1109",3.40633e+14,"","","3.40633E+14",33.47,-116.1
"228","1115",3.40643e+14,"","","3.40643E+14",33.48,-117.68
"229","1116",3.40649e+14,"","","3.40649E+14",33.48,-117.68
"230","1120",3.40655e+14,"","","3.40655E+14",33.48,-117.68
"231","1121",3.407e+14,"","","3.407E+14",33.48,-117.68
"232","1125",3.40707e+14,"","","3.40707E+14",33.48,-117.68
"233","1126",3.40709e+14,"","","3.40709E+14",33.48,-117.68
"234","1134",3.40716e+14,"","","3.40716E+14",33.48,-117.68
"235","1143",3.40722e+14,"","","3.40722E+14",33.48,-117.68
"236","1147",3.40731e+14,"","","3.40731E+14",33.48,-117.68
"237","1148",3.40732e+14,"","","3.40732E+14",33.48,-117.68
"238","1149",3.40734e+14,"","","3.40734E+14",33.48,-117.68
"239","1164",3.40743e+14,"","","3.40743E+14",33.48,-117.68
"240","1169",3.40751e+14,"","","3.40751E+14",33.48,-117.68
"241","1171",3.40756e+14,"","","3.40756E+14",33.48,-117.68
"242","1175",3.408e+14,"","","3.408E+14",33.48,-117.68
"243","1181",3.40804e+14,"","","3.40804E+14",33.48,-117.68
