"","NDI","mergeOn","lat","lon"
"154","849","3.35858E+14",33.29,-116.7
"155","853","3.35916E+14",33.29,-116.7
"156","854","3.35917E+14",33.29,-116.7
"157","860","3.3592E+14",33.29,-116.7
"158","861","3.35928E+14",33.29,-116.7
"159","862","3.3593E+14",33.29,-116.7
"160","864","3.35938E+14",33.29,-116.7
"161","866","3.35949E+14",33.29,-116.7
"162","867","3.35951E+14",33.29,-116.7
"163","868","3.35952E+14",33.29,-116.7
"164","873","3.35955E+14",33.29,-116.7
"165","876","3.35958E+14",33.29,-116.7
"166","879","3.40005E+14",33.29,-116.7
"167","892","3.40024E+14",33.29,-116.7
"168","893","3.40027E+14",33.29,-116.7
"169","903","3.4003E+14",33.29,-116.7
"170","912","3.4004E+14",33.29,-116.7
"171","919","3.40042E+14",33.29,-116.7
"172","921","3.40044E+14",33.29,-116.7
"173","922","3.40046E+14",33.29,-116.7
"174","926","3.40107E+14",33.3,-117.36
"175","930","3.40123E+14",33.3,-117.36
"176","941","3.4013E+14",33.3,-116.35
"177","946","3.40136E+14",33.3,-116.35
"178","947","3.40142E+14",33.31,-116.69
"179","949","3.40155E+14",33.31,-116.69
"180","952","3.40158E+14",33.31,-116.69
"181","953","3.40159E+14",33.31,-116.69
"182","956","3.40202E+14",33.31,-116.69
"183","960","3.40207E+14",33.31,-116.69
"184","969","3.40229E+14",33.31,-116.69
"185","976","3.40248E+14",33.31,-116.69
"186","979","3.40251E+14",33.35,-117.03
"187","980","3.40255E+14",33.42,-116.05
"188","981","3.40257E+14",33.42,-116.05
"189","983","3.40307E+14",33.43,-116.08
"190","986","3.40316E+14",33.44,-117.08
"191","988","3.40317E+14",33.45,-117.1
"192","994","3.40321E+14",33.46,-117.12
"193","997","3.40322E+14",33.46,-117.1
"194","999","3.40326E+14",33.46,-117.1
"195","1003","3.40333E+14",33.47,-117.68
"196","1005","3.4034E+14",33.47,-117.68
"197","1009","3.40349E+14",33.47,-117.68
"198","1011","3.40407E+14",33.47,-117.68
"199","1012","3.40408E+14",33.47,-117.68
"200","1017","3.40414E+14",33.47,-117.68
"201","1022","3.40423E+14",33.47,-117.68
"202","1024","3.40432E+14",33.47,-117.68
"203","1025","3.40433E+14",33.47,-117.68
"204","1027","3.40438E+14",33.47,-117.68
"205","1034","3.40439E+14",33.47,-117.68
"206","1039","3.405E+14",33.47,-117.68
"207","1040","3.40503E+14",33.47,-117.68
"208","1046","3.40508E+14",33.47,-117.68
"209","1050","3.40509E+14",33.47,-117.68
"210","1053","3.40519E+14",33.47,-117.68
"211","1058","3.40521E+14",33.47,-117.68
"212","1059","3.40524E+14",33.47,-117.68
"213","1062","3.40531E+14",33.47,-117.68
"214","1064","3.40533E+14",33.47,-117.68
"215","1065","3.40535E+14",33.47,-117.68
"216","1071","3.4054E+14",33.47,-117.68
"217","1073","3.40541E+14",33.47,-117.68
"218","1080","3.40546E+14",33.47,-117.68
"219","1082","3.40552E+14",33.47,-117.68
"220","1083","3.40555E+14",33.47,-117.68
"221","1090","3.40559E+14",33.47,-117.68
"222","1094","3.40605E+14",33.47,-117.68
"223","1096","3.40606E+14",33.47,-117.68
"224","1103","3.40615E+14",33.47,-117.12
"225","1106","3.4062E+14",33.47,-117.11
"226","1108","3.40626E+14",33.47,-116.1
"227","1109","3.40633E+14",33.47,-116.1
"228","1115","3.40643E+14",33.48,-117.68
"229","1116","3.40649E+14",33.48,-117.68
"230","1120","3.40655E+14",33.48,-117.68
"231","1121","3.407E+14",33.48,-117.68
"232","1125","3.40707E+14",33.48,-117.68
"233","1126","3.40709E+14",33.48,-117.68
"234","1134","3.40716E+14",33.48,-117.68
"235","1143","3.40722E+14",33.48,-117.68
"236","1147","3.40731E+14",33.48,-117.68
"237","1148","3.40732E+14",33.48,-117.68
"238","1149","3.40734E+14",33.48,-117.68
"239","1164","3.40743E+14",33.48,-117.68
"240","1169","3.40751E+14",33.48,-117.68
"241","1171","3.40756E+14",33.48,-117.68
"242","1175","3.408E+14",33.48,-117.68
"243","1181","3.40804E+14",33.48,-117.68
"244","1188","3.40808E+14",33.48,-117.1
"245","1191","3.40814E+14",33.48,-117.1
"246","1201","3.40824E+14",33.49,-117.67
"247","1202","3.40826E+14",33.49,-117.67
"248","1203","3.40828E+14",33.49,-117.67
"249","1204","3.40829E+14",33.49,-117.67
"250","1211","3.40851E+14",33.49,-117.67
"251","1215","3.40856E+14",33.49,-117.67
"252","1217","3.40858E+14",33.49,-117.67
"253","1223","3.40914E+14",33.49,-117.67
"254","1229","3.40927E+14",33.49,-117.67
"255","1240","3.40936E+14",33.49,-117.67
"256","1247","3.40945E+14",33.49,-117.67
"257","1248","3.40949E+14",33.49,-117.67
"258","1252","3.41013E+14",33.49,-117.67
"259","1256","3.41017E+14",33.49,-117.67
"260","1259","3.41031E+14",33.49,-117.67
"261","1261","3.41052E+14",33.49,-117.67
"262","1262","3.41059E+14",33.49,-117.67
"263","1263","3.41106E+14",33.49,-117.67
"264","1266","3.41209E+14",33.49,-117.67
"265","1268","3.41227E+14",33.49,-117.67
"266","1275","3.41249E+14",33.49,-117.67
"267","1297","3.41501E+14",33.49,-117.67
"268","1298","3.4152E+14",33.49,-117.67
"269","1300","3.41552E+14",33.49,-117.67
"270","1301","3.41556E+14",33.49,-117.67
"271","1305","3.41601E+14",33.49,-117.67
"272","1309","3.41622E+14",33.49,-117.67
"273","1329","3.41741E+14",33.49,-117.67
"274","1331","3.41751E+14",33.49,-117.67
"275","1339","3.41814E+14",33.49,-117.67
"276","1354","3.41907E+14",33.49,-117.67
"277","1356","3.41912E+14",33.49,-117.67
"278","1357","3.41918E+14",33.49,-117.67
"279","1360","3.41932E+14",33.49,-117.67
"280","1363","3.42037E+14",33.49,-117.67
"281","1366","3.42111E+14",33.49,-117.67
"282","1367","3.42117E+14",33.49,-117.67
"283","1368","3.42129E+14",33.49,-117.67
"284","1373","3.42229E+14",33.49,-117.67
"285","1381","3.42306E+14",33.49,-117.67
"286","1387","3.42341E+14",33.49,-117.67
"287","1388","3.42349E+14",33.49,-117.67
"288","1406","3.42434E+14",33.49,-117.67
"289","1412","3.42441E+14",33.49,-117.67
"290","1417","3.42448E+14",33.49,-117.67
"291","1423","3.42452E+14",33.49,-117.67
"292","1446","3.42503E+14",33.49,-117.67
"293","1449","3.42506E+14",33.49,-117.67
"294","1466","3.42517E+14",33.49,-117.67
"295","1470","3.42519E+14",33.49,-117.67
"296","1476","3.42526E+14",33.49,-117.67
"297","1477","3.42529E+14",33.49,-117.67
"298","1478","3.4253E+14",33.49,-117.67
"299","1488","3.42539E+14",33.49,-117.67
"300","1495","3.42546E+14",33.49,-117.67
"301","1501","3.42549E+14",33.49,-117.67
"302","1506","3.42552E+14",33.49,-117.67
"303","1520","3.426E+14",33.49,-117.67
"304","1522","3.42601E+14",33.49,-117.67
"305","1526","3.42605E+14",33.49,-117.67
"306","1535","3.42608E+14",33.49,-117.67
"307","1536","3.42609E+14",33.49,-117.06
"308","1539","3.4261E+14",33.49,-117.06
"309","1542","3.42611E+14",33.49,-116.68
"310","1546","3.42612E+14",33.5,-117.67
"311","1548","3.42613E+14",33.5,-117.67
"312","1549","3.42616E+14",33.5,-117.67
"313","1551","3.42618E+14",33.5,-117.67
"314","1556","3.4262E+14",33.5,-117.67
"315","1560","3.42623E+14",33.5,-117.67
"316","1566","3.4263E+14",33.5,-117.67
"317","1568","3.42631E+14",33.5,-117.67
"318","1579","3.42639E+14",33.5,-117.67
"319","1582","3.42643E+14",33.5,-117.67
"320","1583","3.42645E+14",33.5,-117.67
"321","1585","3.42646E+14",33.5,-117.67
"322","1587","3.42647E+14",33.5,-117.67
"323","1589","3.42658E+14",33.5,-117.67
"324","1614","3.42705E+14",33.5,-117.65
"325","1618","3.42706E+14",33.5,-117.65
"326","1619","3.42707E+14",33.5,-117.65
"327","1621","3.42708E+14",33.5,-117.65
"328","1628","3.42732E+14",33.5,-117.65
"329","1644","3.42744E+14",33.5,-117.65
"330","1647","3.42754E+14",33.5,-117.65
"331","1648","3.42758E+14",33.5,-117.65
"332","1654","3.42814E+14",33.5,-117.65
"333","1668","3.42824E+14",33.5,-117.65
"334","1671","3.42838E+14",33.5,-117.65
"335","1673","3.4284E+14",33.5,-117.65
"336","1675","3.42847E+14",33.5,-117.65
"337","1686","3.42906E+14",33.5,-117.65
"338","1695","3.42934E+14",33.5,-117.65
"339","1697","3.42938E+14",33.5,-117.65
"340","1702","3.4295E+14",33.5,-117.65
"341","1709","3.43E+14",33.5,-117.65
"342","1714","3.43004E+14",33.5,-117.65
"343","1717","3.43008E+14",33.5,-117.65
"344","1718","3.43015E+14",33.5,-117.65
"345","1720","3.4303E+14",33.5,-117.65
"346","1727","3.43101E+14",33.5,-117.65
"347","1739","3.4315E+14",33.5,-117.65
"348","1745","3.432E+14",33.5,-117.65
"349","1746","3.43205E+14",33.5,-117.65
"350","1747","3.43218E+14",33.5,-117.65
"351","1748","3.4322E+14",33.5,-117.65
"352","1749","3.43236E+14",33.5,-117.65
"353","1751","3.43237E+14",33.5,-117.65
"354","1753","3.43242E+14",33.5,-117.65
"355","1757","3.43307E+14",33.5,-117.65
"356","1761","3.43328E+14",33.5,-117.65
"357","1762","3.4333E+14",33.5,-117.65
"358","1769","3.43353E+14",33.5,-117.65
"359","1770","3.43404E+14",33.5,-117.65
"360","1774","3.43419E+14",33.5,-117.65
"361","1775","3.4342E+14",33.5,-117.65
"362","1776","3.43422E+14",33.5,-117.65
"363","1781","3.43426E+14",33.5,-117.65
"364","1784","3.43434E+14",33.5,-117.65
"365","1787","3.43441E+14",33.5,-117.65
"366","1792","3.43445E+14",33.5,-117.65
"367","1793","3.43448E+14",33.5,-117.65
"368","1794","3.4345E+14",33.5,-117.65
"369","1795","3.43458E+14",33.5,-117.65
"370","1802","3.43513E+14",33.5,-117.65
"371","1804","3.43515E+14",33.5,-117.65
"372","1810","3.43534E+14",33.5,-117.65
"373","1813","3.43544E+14",33.5,-117.65
"374","1814","3.43546E+14",33.5,-117.65
"375","1821","3.43554E+14",33.5,-117.65
"376","1822","3.43555E+14",33.5,-117.65
"377","1824","3.43557E+14",33.5,-117.65
"378","1826","3.43602E+14",33.5,-117.65
"379","1827","3.43603E+14",33.5,-117.65
"380","1832","3.43606E+14",33.5,-117.65
"381","1836","3.43609E+14",33.5,-117.65
"382","1839","3.43613E+14",33.5,-117.65
"383","1842","3.43619E+14",33.5,-117.65
"384","1843","3.43621E+14",33.5,-117.65
"385","1846","3.43623E+14",33.5,-117.65
"386","1850","3.43632E+14",33.5,-117.65
"387","1851","3.4364E+14",33.5,-117.65
"388","1854","3.43647E+14",33.5,-117.65
"389","1857","3.4365E+14",33.5,-117.65
"390","1858","3.43651E+14",33.5,-117.65
"391","1860","3.43653E+14",33.5,-117.65
"392","1862","3.43656E+14",33.5,-117.65
"393","1863","3.43703E+14",33.5,-117.65
"394","1865","3.43705E+14",33.5,-117.65
"395","1867","3.43712E+14",33.5,-117.65
"396","1868","3.43718E+14",33.5,-117.65
"397","1869","3.43719E+14",33.5,-117.65
"398","1870","3.43722E+14",33.5,-117.65
"399","1874","3.43726E+14",33.5,-117.65
"400","1877","3.43727E+14",33.5,-117.65
"401","1879","3.4373E+14",33.5,-117.65
"402","1882","3.43735E+14",33.5,-117.65
"403","1885","3.43746E+14",33.5,-117.65
"404","1888","3.43754E+14",33.5,-117.65
"405","1891","3.43755E+14",33.5,-117.65
"406","1895","3.43809E+14",33.5,-117.65
"407","1896","3.43812E+14",33.5,-117.65
"408","1897","3.43813E+14",33.5,-117.65
"409","1899","3.43815E+14",33.5,-117.65
"410","1900","3.4382E+14",33.5,-117.65
"411","1901","3.43821E+14",33.5,-117.65
"412","1902","3.43822E+14",33.5,-117.65
"413","1904","3.43824E+14",33.5,-117.65
"414","1905","3.43828E+14",33.5,-117.65
"415","1906","3.4383E+14",33.5,-117.65
"416","1909","3.43833E+14",33.5,-117.65
"417","1917","3.4384E+14",33.5,-117.65
"418","1918","3.43841E+14",33.5,-117.65
"419","1921","3.43859E+14",33.5,-117.65
"420","1922","3.439E+14",33.5,-117.65
"421","1925","3.43901E+14",33.5,-117.65
"422","1926","3.43903E+14",33.5,-117.65
"423","1928","3.43909E+14",33.5,-117.65
"424","1929","3.43914E+14",33.5,-117.65
"425","1931","3.4392E+14",33.5,-117.65
"426","1934","3.43925E+14",33.5,-117.65
"427","1935","3.43926E+14",33.5,-117.65
"428","1941","3.43929E+14",33.5,-117.65
"429","1942","3.43932E+14",33.5,-117.65
"430","1944","3.43935E+14",33.5,-117.65
"431","1949","3.43939E+14",33.5,-117.65
"432","1951","3.43941E+14",33.5,-117.65
"433","1952","3.43942E+14",33.5,-117.65
"434","1957","3.43943E+14",33.5,-117.65
"435","1961","3.43944E+14",33.5,-117.65
"436","1965","3.43946E+14",33.5,-117.65
"437","1966","3.43947E+14",33.5,-117.65
"438","1972","3.43949E+14",33.5,-117.65
"439","1973","3.43951E+14",33.5,-117.65
"440","1974","3.43952E+14",33.5,-117.65
"441","1975","3.43953E+14",33.5,-117.65
"442","1978","3.43956E+14",33.5,-117.65
"443","1979","3.44E+14",33.5,-117.65
"444","1980","3.44001E+14",33.5,-117.65
"445","1986","3.44004E+14",33.5,-117.65
"446","1987","3.44005E+14",33.5,-117.65
"447","1993","3.44008E+14",33.5,-117.65
"448","1997","3.4401E+14",33.5,-117.65
"449","1998","3.44017E+14",33.5,-117.65
"450","1999","3.44021E+14",33.5,-117.65
"451","2002","3.44025E+14",33.5,-117.65
"452","2011","3.44029E+14",33.5,-117.65
"453","2016","3.4403E+14",33.5,-117.65
"454","2017","3.44031E+14",33.5,-117.65
"455","2018","3.44033E+14",33.5,-117.65
"456","2019","3.44035E+14",33.5,-117.65
"457","2023","3.44041E+14",33.5,-117.65
"458","2029","3.44044E+14",33.5,-117.65
"459","2031","3.44048E+14",33.5,-117.65
"460","2032","3.441E+14",33.5,-117.65
"461","2033","3.44101E+14",33.5,-117.65
"462","2034","3.44104E+14",33.5,-117.65
"463","2035","3.44109E+14",33.5,-117.65
"464","2039","3.44114E+14",33.5,-117.65
"465","2040","3.44115E+14",33.5,-117.65
"466","2043","3.44119E+14",33.5,-117.65
"467","2044","3.4412E+14",33.5,-117.65
"468","2045","3.44122E+14",33.5,-117.65
"469","2048","3.44124E+14",33.5,-117.65
"470","2049","3.44126E+14",33.5,-117.12
"471","2053","3.4414E+14",33.5,-117.12
"472","2057","3.44147E+14",33.5,-117.12
"473","2058","3.44151E+14",33.5,-117.12
"474","2070","3.442E+14",33.5,-117.12
"475","2075","3.44219E+14",33.5,-117.12
"476","2076","3.44221E+14",33.5,-117.12
"477","2079","3.4423E+14",33.5,-117.08
"478","2085","3.44248E+14",33.5,-117.08
"479","2098","3.44303E+14",33.5,-117.08
"480","2106","3.4431E+14",33.5,-117.08
"481","2119","3.44338E+14",33.5,-117.08
"482","2120","3.4434E+14",33.5,-117.08
"483","2121","3.44342E+14",33.5,-117.08
"484","2123","3.44346E+14",33.5,-117.08
"485","2124","3.44348E+14",33.5,-117.08
"486","2125","3.44354E+14",33.5,-117.03
"487","2127","3.444E+14",33.5,-117.03
"488","2129","3.44403E+14",33.5,-117.03
"489","2130","3.44405E+14",33.5,-117.03
"490","2131","3.44416E+14",33.5,-117.03
"491","2132","3.44418E+14",33.5,-117.02
"492","2134","3.4442E+14",33.5,-117.02
"493","2135","3.44425E+14",33.5,-117.02
"494","2137","3.44434E+14",33.5,-117.02
"495","2138","3.44436E+14",33.5,-117.02
"496","2139","3.44441E+14",33.5,-117.02
"497","2140","3.44443E+14",33.5,-116.66
"498","2141","3.44454E+14",33.51,-117.67
"499","2143","3.44457E+14",33.51,-117.67
"500","2145","3.445E+14",33.51,-117.67
"501","2147","3.44509E+14",33.51,-117.67
"502","2148","3.44512E+14",33.51,-117.67
"503","2149","3.44513E+14",33.51,-117.67
"504","2150","3.44517E+14",33.51,-117.67
"505","2155","3.4452E+14",33.51,-117.67
"506","2157","3.44521E+14",33.51,-117.67
"507","2158","3.44523E+14",33.51,-117.67
"508","2164","3.4453E+14",33.51,-117.67
"509","2165","3.44532E+14",33.51,-117.67
"510","2170","3.44534E+14",33.51,-117.67
"511","2171","3.44535E+14",33.51,-117.67
"512","2173","3.44541E+14",33.51,-117.67
"513","2174","3.44542E+14",33.51,-117.67
"514","2175","3.44544E+14",33.51,-117.67
"515","2182","3.44546E+14",33.51,-117.67
"516","2184","3.44547E+14",33.51,-117.67
"517","2185","3.44548E+14",33.51,-117.67
"518","2190","3.4455E+14",33.51,-117.67
"519","2192","3.44551E+14",33.51,-117.67
"520","2194","3.44554E+14",33.51,-117.67
"521","2195","3.44557E+14",33.51,-117.67
"522","2197","3.446E+14",33.51,-117.67
"523","2198","3.44603E+14",33.51,-117.67
"524","2199","3.44607E+14",33.51,-117.67
"525","2204","3.44609E+14",33.51,-117.67
"526","2210","3.44613E+14",33.51,-117.67
"527","2211","3.44614E+14",33.51,-117.67
"528","2213","3.4462E+14",33.51,-117.67
"529","2216","3.44623E+14",33.51,-117.67
"530","2217","3.44624E+14",33.51,-117.67
"531","2218","3.44626E+14",33.51,-117.67
"532","2219","3.44628E+14",33.51,-117.67
"533","2220","3.4463E+14",33.51,-117.67
"534","2221","3.44632E+14",33.51,-117.67
"535","2222","3.44633E+14",33.51,-117.67
"536","2223","3.44635E+14",33.51,-117.67
"537","2224","3.44636E+14",33.51,-117.67
"538","2229","3.4464E+14",33.51,-117.67
"539","2230","3.44641E+14",33.51,-117.67
"540","2232","3.44643E+14",33.51,-117.67
"541","2233","3.44645E+14",33.51,-117.67
"542","2234","3.44647E+14",33.51,-117.67
"543","2236","3.44652E+14",33.51,-117.67
"544","2237","3.44657E+14",33.51,-117.67
"545","2239","3.44658E+14",33.51,-117.67
"546","2240","3.44659E+14",33.51,-117.67
"547","2241","3.447E+14",33.51,-117.67
"548","2242","3.44701E+14",33.51,-117.67
"549","2244","3.44714E+14",33.51,-117.67
"550","2245","3.44715E+14",33.51,-117.67
"551","2247","3.44722E+14",33.51,-117.67
"552","2249","3.44725E+14",33.51,-117.67
"553","2250","3.44727E+14",33.51,-117.67
"554","2253","3.44729E+14",33.51,-117.67
"555","2254","3.44733E+14",33.51,-117.67
"556","2256","3.44736E+14",33.51,-117.67
"557","2257","3.44742E+14",33.51,-117.67
"558","2258","3.44747E+14",33.51,-117.67
"559","2259","3.44751E+14",33.51,-117.67
"560","2261","3.44755E+14",33.51,-117.67
"561","2265","3.448E+14",33.51,-117.67
"562","2268","3.4481E+14",33.51,-117.67
"563","2269","3.44812E+14",33.51,-117.67
"564","2270","3.44814E+14",33.51,-117.67
"565","2271","3.44817E+14",33.51,-117.67
"566","2273","3.44818E+14",33.51,-117.67
"567","2274","3.44819E+14",33.51,-117.67
"568","2276","3.44825E+14",33.51,-117.67
"569","2277","3.44828E+14",33.51,-117.67
"570","2278","3.44833E+14",33.51,-117.67
"571","2284","3.44834E+14",33.51,-117.67
"572","2289","3.44835E+14",33.51,-117.67
"573","2291","3.44836E+14",33.51,-117.67
"574","2295","3.44841E+14",33.51,-117.67
"575","2296","3.44843E+14",33.51,-117.67
"576","2297","3.44844E+14",33.51,-117.67
"577","2299","3.44848E+14",33.51,-117.67
"578","2300","3.44849E+14",33.51,-117.67
"579","2301","3.44858E+14",33.51,-117.67
"580","2312","3.4491E+14",33.51,-117.67
"581","2314","3.44911E+14",33.51,-117.67
"582","2315","3.44913E+14",33.51,-117.67
"583","2317","3.44915E+14",33.51,-117.67
"584","2318","3.44917E+14",33.51,-117.67
"585","2319","3.44921E+14",33.51,-117.67
"586","2324","3.44922E+14",33.51,-117.67
"587","2327","3.44923E+14",33.51,-117.64
"588","2331","3.44927E+14",33.51,-117.64
"589","2335","3.44932E+14",33.51,-117.64
"590","2342","3.44933E+14",33.51,-117.64
"591","2366","3.44938E+14",33.51,-117.64
"592","2368","3.4494E+14",33.51,-117.64
"593","2371","3.44947E+14",33.51,-117.64
"594","2372","3.44948E+14",33.51,-117.64
"595","2375","3.44954E+14",33.51,-117.64
"596","2377","3.45E+14",33.51,-117.64
"597","2380","3.45001E+14",33.51,-117.64
"598","2381","3.45003E+14",33.51,-117.64
"599","2383","3.45006E+14",33.51,-117.64
"600","2384","3.45014E+14",33.51,-117.64
"601","2385","3.45016E+14",33.51,-117.64
"602","2387","3.45017E+14",33.51,-117.64
"603","2388","3.45019E+14",33.51,-117.64
"604","2390","3.45023E+14",33.51,-117.64
"605","2391","3.45024E+14",33.51,-117.64
"606","2395","3.45028E+14",33.51,-117.64
"607","2398","3.45035E+14",33.51,-117.64
"608","2400","3.4504E+14",33.51,-117.64
"609","2401","3.45042E+14",33.51,-117.64
"610","2406","3.45052E+14",33.51,-117.64
"611","2408","3.45053E+14",33.51,-117.64
"612","2409","3.45056E+14",33.51,-117.64
"613","2414","3.45059E+14",33.51,-117.64
"614","2416","3.451E+14",33.51,-117.64
"615","2420","3.45104E+14",33.51,-117.64
"616","2421","3.45105E+14",33.51,-117.64
