STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
21N03W01R003M,396963N1221405W001,GLE_01R003M screen interval 590 to 1310 bgs            ,Screen: 590-1310 ft ,39.69625097,-122.1404793,NAD83     ,,203.53,,,Glenn,5-021.52,Colusa,1360.0,Irrigation,Single Well,726925,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W01R003M,None
21N03W23C001M,396676N1221697W001,GLE_23C001M screen interval 55 to 75 bgs               ,Screen: 55-75 ft    ,39.66763156,-122.1697472,NAD83     ,,200.35,,,Glenn,5-021.52,Colusa,110.0,,Unknown,801441,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W23C001M,None
21N03W23D001M,396672N1221774W001,GLE_23D001M screen interval 363 to 373 bgs             ,Screen: 363-373 ft  ,39.66719014,-122.1773539,NAD83     ,,204.76,,,Glenn,5-021.52,Colusa,420.0,Observation,Part of a nested/multi-completion well,801404,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W23D001M,None
21N03W23D002M,396672N1221774W002,GLE_23D002M screen interval 142 to 170 bgs             ,Screen: 142-170 ft  ,39.66719014,-122.1773539,NAD83     ,,204.76,,,Glenn,5-021.52,Colusa,200.0,Observation,Part of a nested/multi-completion well,801404,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W23D002M,None
21N03W23D003M,396672N1221774W003,GLE_23D003M screen interval 42 to 72 bgs               ,Screen: 42-72 ft    ,39.66719014,-122.1773539,NAD83     ,,204.76,,,Glenn,5-021.52,Colusa,84.0,Observation,Part of a nested/multi-completion well,801404,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W23D003M,None
21N03W23D004M,396675N1221766W001,GLE_23D004M screen interval 48 to 68 bgs               ,Screen: 48-68 ft    ,39.66754547,-122.1766385,NAD83     ,,205.07,,,Glenn,5-021.52,Colusa,80.0,,Unknown,801442,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W23D004M,None
21N03W23D005M,396670N1221769W001,GLE_23D005M screen interval 46 to 66 bgs               ,Screen: 46-66 ft    ,39.66697994,-122.1769366,NAD83     ,,203.07,,,Glenn,5-021.52,Colusa,92.0,,Unknown,801443,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W23D005M,None
21N03W31R002M,396252N1222351W001,GLE_ 31R002M screen interval 280 to 285 bgs            ,Screen: Unknown     ,39.46307106,-122.2368729,NAD83     ,,185.46,,,Glenn,5-021.52,Colusa,410.0,,Unknown,1000021E,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W31R002M,None
21N03W31R003M,396252N1222351W002,GLE_ 31R003M screen interval 519 to 525 bgs            ,Screen: Unknown     ,39.46307106,-122.2368729,NAD83     ,,185.46,,,Glenn,5-021.52,Colusa,565.0,,Unknown,1000021E,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W31R003M,None
21N03W31R004M,396252N1222351W003,GLE_ 31R004M screen interval unknown                   ,Screen: Unknown     ,39.46307106,-122.2368729,NAD83     ,,185.46,,,Glenn,5-021.52,Colusa,240.0,,Unknown,1000021E,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W31R004M,None
21N03W31R005M,396252N1222351W004,GLE_ 31R005M screen interval 99 to 105 bgs             ,Screen: Unknown     ,39.46307106,-122.2368729,NAD83     ,,185.46,,,Glenn,5-021.52,Colusa,120.0,,Unknown,1000021E,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W31R005M,None
21N03W34Q002M,396244N1221872W001,GLE_34Q002M screen interval 929 to 959 bgs             ,Screen: 929-959 ft  ,39.62471297,-122.1871432,NAD83     ,,166.65,,,Glenn,5-021.52,Colusa,1020.0,Observation,Part of a nested/multi-completion well,816224,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W34Q002M,None
21N03W34Q003M,396244N1221872W002,GLE_34Q003M screen interval 620 to 690 bgs             ,Screen: 620-690 ft  ,39.62471297,-122.1871432,NAD83     ,,166.65,,,Glenn,5-021.52,Colusa,720.0,Observation,Part of a nested/multi-completion well,816224,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W34Q003M,None
21N03W34Q004M,396244N1221872W003,GLE_34Q004M screen interval 58 to 68 bgs               ,Screen: 58-68 ft    ,39.62471297,-122.1871432,NAD83     ,,166.65,,,Glenn,5-021.52,Colusa,108.0,Observation,Part of a nested/multi-completion well,816224,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N03W34Q004M,None
21N04W12A001M,396972N1222533W001,GLE_12A001M screen interval 595 to 605 bgs             ,Screen: 595-605 ft  ,39.69715747,-122.2533012,NAD83     ,,247.88,,,Glenn,5-021.52,Colusa,640.0,Observation,Part of a nested/multi-completion well,726739,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N04W12A001M,None
21N04W12A002M,396971N1222533W001,GLE_12A002M screen interval 247 to 257 bgs             ,Screen: 247-257 ft  ,39.69716647,-122.2533011,NAD83     ,,247.88,,,Glenn,5-021.52,Colusa,323.0,Observation,Part of a nested/multi-completion well,726739,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N04W12A002M,None
21N04W12A003M,396971N1222535W001,Gln_12A003M screen interval 955-1050 ft bgs            ,Screen: 955-1050 ft ,39.6970501,-122.25339788,NAD83     ,02      ,247.5,,01      ,Glenn,5-021.52,Colusa,1080.0,Observation,Part of a nested/multi-completion well,E0103388,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N04W12A003M,None
21N04W12A004M,396971N1222535W002,GLE_12A004M screen interval 520 to 640 bgs             ,Screen: 520-640 ft  ,39.69716647,-122.2533011,NAD83     ,,247.5,,,Glenn,5-021.52,Colusa,659.0,Observation,Part of a nested/multi-completion well,E0103388,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=21N04W12A004M,None
22N01E28J001M,397317N1218649W001,BUT_28J001M screen interval 460 t0 559 bgs             ,Screen: 460-559 ft  ,39.7314,-121.8651,NAD83     ,02      ,178.87,,04      ,Butte,5-021.57,Vina,660.0,Observation,Part of a nested/multi-completion well,USBR,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01E28J001M,None
22N01E28J003M,397317N1218649W002,BUT_28J003M screen interval 200 to 279 bgs             ,Screen: 200-279 ft  ,39.731661,-121.865008,WGS84     ,02      ,178.29,,03      ,Butte,5-021.57,Vina,320.0,Observation,Part of a nested/multi-completion well,USBR,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01E28J003M,None
22N01E28J005M,397317N1218649W003,BUT_28J005M screen interval 740 to 800 bgs             ,Screen: 740-800 ft  ,39.731667,-121.864992,WGS84     ,02      ,178.89,,03      ,Butte,5-021.57,Vina,948.0,Observation,Part of a nested/multi-completion well,USBR,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01E28J005M,None
22N01E32E004M,397190N1218983W001,BUT_32E004M screen interval unknown                    ,Screen: Unknown     ,39.71997422,-121.8973651,NAD83     ,,150.94,,,Butte,5-021.58,West Butte,160.0,Residential,Single Well,3825,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01E32E004M,None
22N01E35E001M,397182N1218432W001,BUT_35E001M screen interval 101 to 372 bgs             ,Screen: 101-372 ft  ,39.71808664,-121.8432026,NAD83     ,,182.33,,,Butte,5-021.58,West Butte,656.0,Irrigation,Single Well,3876,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01E35E001M,None
22N01W05M001M,397871N1220100W001,BUT_05M001M screen interval unknown                    ,Screen: Unknown     ,39.78711111,-122.0097398,NAD83     ,02      ,151.48,,05      ,Butte,5-021.57,Vina,200.0,Irrigation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01W05M001M,None
22N01W19K005M,397475N1220221W001,GLE_19K005M Screen Interval 920 to 1230 bgs            ,Screen: 920-1230 ft ,39.747504,-122.022112,WGS84     ,02      ,155.94,,01      ,Glenn,5-021.51,Corning,1300.0,Irrigation,Single Well,E0112768,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01W19K005M,None
22N01W29N001M,397263N1220105W001,Glenn_29N001M screen interval 859-1135 ft bgs.         ,Screen: 859-1135 ft ,39.72618217,-122.01055101,NAD83     ,02      ,146.25,,01      ,Glenn,5-021.51,Corning,1204.0,Observation,Part of a nested/multi-completion well,E0103616,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01W29N001M,None
22N01W29N002M,397263N1220105W002,Glenn_29N002M Screened Interval 549-641 ft bgs         ,Screen: 549-641 ft  ,39.72626217,-122.01055102,NAD83     ,02      ,146.25,,01      ,Glenn,5-021.51,Corning,670.0,Observation,Part of a nested/multi-completion well,E0103616,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01W29N002M,None
22N01W29N003M,397263N1220105W003,Glenn_29Q003M Screened Interval 189-380 ft bgs         ,Screen: 189-380 ft  ,39.72626217,-122.01055102,NAD83     ,02      ,146.25,,01      ,Glenn,5-021.51,Corning,400.0,Observation,Part of a nested/multi-completion well,E0103616,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01W29N003M,None
22N01W29N004M,397263N1220105W004,Glenn_29N004M Screened Interval 99-109 ft bgs          ,Screen: 99-109 ft   ,39.72626217,-122.01055102,NAD83     ,02      ,146.25,,01      ,Glenn,5-021.51,Corning,120.0,Observation,Part of a nested/multi-completion well,E0103616,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N01W29N004M,None
22N02E30C002M,397383N1217982W001,BUT_30C002M screen interval 90 to 190 bgs              ,Screen: 90-190 ft   ,39.73830581,-121.7980742,NAD83     ,,243.63,,,Butte,5-021.58,West Butte,203.0,Observation,Single Well,782044,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02E30C002M,None
22N02W01N001M,397836N1220461W001,GLE_01N001M screen interval 812 to 1050 bgs            ,Screen: 812-1050 ft ,39.78357825,-122.0461909,NAD83     ,,159.21,,,Glenn,5-021.51,Corning,1100.0,Observation,Part of a nested/multi-completion well,E038764,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=22N02W01N001M,None
